snapshot_month,account_id,region,segment,plan_tier,contract_type,seats,active_users,monthly_recurring_revenue_usd,product_usage_hours,support_tickets,outage_minutes,nps_score,churn_risk_score,churned
2025-01-01,ACC_00013,EMEA,MidMarket,growth,monthly,19,16,811.01,214.11,2.0,13.56,,0.33,0
2025-02-01,ACC_00013,EMEA,MidMarket,growth,monthly,12,8,557.43,156.66,2.0,24.7,10.3,0.3232,0
2025-03-01,ACC_00013,EMEA,MidMarket,growth,monthly,17,4,652.68,47.55,1.0,8.22,20.0,0.3077,0
2025-04-01,ACC_00013,EMEA,MidMarket,growth,monthly,17,10,669.81,,1.0,14.96,51.2,0.229,0
2025-05-01,ACC_00013,EMEA,MidMarket,growth,monthly,17,7,884.97,78.22,0.0,19.6,40.6,0.2475,0
2025-06-01,ACC_00013,EMEA,MidMarket,growth,monthly,22,14,987.74,162.04,4.0,7.44,18.8,0.3737,0
2025-01-01,ACC_00014,NorthAmerica,SMB,enterprise,annual,9,3,1368.75,,2.0,8.71,68.8,0.0282,0
2025-02-01,ACC_00014,NorthAmerica,SMB,enterprise,annual,11,9,1631.79,217.15,,3.35,73.6,0.025,0
2025-03-01,ACC_00014,NorthAmerica,SMB,enterprise,annual,15,10,2417.07,175.19,1.0,33.78,66.8,0.0691,0
2025-04-01,ACC_00014,NorthAmerica,SMB,enterprise,annual,12,10,1468.11,211.12,1.0,5.03,34.8,0.0145,0
2025-05-01,ACC_00014,NorthAmerica,SMB,enterprise,annual,9,7,1294.3,80.86,0.0,11.42,,0.01,0
2025-06-01,ACC_00014,NorthAmerica,SMB,enterprise,annual,15,6,2172.33,18.87,,2.25,46.2,0.0776,0
2025-01-01,ACC_00015,APAC,Enterprise,pro,monthly,174,87,12901.99,1372.96,4.0,5.83,41.2,0.2693,0
2025-02-01,ACC_00015,APAC,Enterprise,pro,monthly,163,105,14811.03,1985.07,,17.38,3.9,0.3742,1
2025-03-01,ACC_00015,APAC,Enterprise,pro,monthly,173,83,15044.9,957.68,2.0,4.08,28.3,0.2087,0
2025-04-01,ACC_00015,APAC,Enterprise,pro,monthly,176,161,15093.7,2772.84,3.0,11.17,53.0,0.34,0
2025-05-01,ACC_00015,APAC,Enterprise,pro,monthly,156,128,12389.86,,2.0,9.08,43.8,0.3267,0
2025-06-01,ACC_00015,APAC,Enterprise,pro,monthly,170,110,16397.86,989.26,0.0,4.66,33.8,0.2497,0
2025-01-01,ACC_00016,EMEA,MidMarket,starter,annual,16,12,293.7,129.42,1.0,45.98,45.9,0.173,0
2025-02-01,ACC_00016,EMEA,MidMarket,starter,annual,22,12,410.28,197.46,3.0,9.5,26.3,0.1316,0
2025-03-01,ACC_00016,EMEA,MidMarket,starter,annual,19,11,329.02,192.53,1.0,3.55,42.6,0.1733,0
2025-04-01,ACC_00016,EMEA,MidMarket,starter,annual,16,14,308.27,,0.0,14.08,41.3,0.106,0
2025-05-01,ACC_00016,EMEA,MidMarket,starter,annual,20,10,318.98,215.53,1.0,10.7,75.6,0.0971,0
2025-06-01,ACC_00016,EMEA,MidMarket,starter,annual,17,9,323.15,192.18,0.0,7.78,46.1,0.121,0
2025-01-01,ACC_00017,NorthAmerica,SMB,enterprise,annual,8,2,1169.58,15.98,2.0,11.68,45.4,0.01,0
2025-02-01,ACC_00017,NorthAmerica,SMB,enterprise,annual,5,4,839.37,24.78,0.0,34.19,68.7,0.0805,0
2025-03-01,ACC_00017,NorthAmerica,SMB,enterprise,annual,5,3,784.05,,1.0,30.16,,0.01,0
2025-04-01,ACC_00017,NorthAmerica,SMB,enterprise,annual,6,2,783.91,31.59,0.0,7.3,78.5,0.0818,0
2025-05-01,ACC_00017,NorthAmerica,SMB,enterprise,annual,7,3,1124.06,59.67,,4.69,,0.0706,0
2025-06-01,ACC_00017,NorthAmerica,SMB,enterprise,annual,8,3,1248.06,18.03,2.0,32.2,80.3,0.0773,0
2025-01-01,ACC_00018,APAC,MidMarket,starter,annual,27,10,428.08,124.47,2.0,13.29,40.0,0.1699,0
2025-02-01,ACC_00018,APAC,MidMarket,starter,annual,30,12,475.93,207.44,2.0,19.7,39.6,0.158,0
2025-03-01,ACC_00018,APAC,MidMarket,starter,annual,31,16,536.21,377.19,1.0,18.31,62.7,0.1677,0
2025-04-01,ACC_00018,APAC,MidMarket,starter,annual,28,12,513.13,171.86,2.0,15.97,,0.1853,0
2025-05-01,ACC_00018,APAC,MidMarket,starter,annual,29,15,500.73,125.28,1.0,19.33,30.6,0.1405,1
2025-06-01,ACC_00018,APAC,MidMarket,starter,annual,28,15,466.21,183.43,2.0,11.51,24.3,0.158,0
2025-01-01,ACC_00019,LATAM,Enterprise,enterprise,annual,77,44,10801.35,615.1,0.0,7.88,46.3,0.0375,0
2025-02-01,ACC_00019,LATAM,Enterprise,enterprise,annual,78,41,11577.27,741.79,1.0,20.64,53.2,0.0306,0
2025-03-01,ACC_00019,LATAM,Enterprise,enterprise,annual,79,57,12290.43,1123.09,0.0,20.96,56.0,0.01,0
2025-04-01,ACC_00019,LATAM,Enterprise,enterprise,annual,80,41,12395.46,904.09,1.0,11.82,,0.0538,0
2025-05-01,ACC_00019,LATAM,Enterprise,enterprise,annual,76,23,12557.43,390.91,2.0,16.2,54.7,0.0548,0
2025-06-01,ACC_00019,LATAM,Enterprise,enterprise,annual,71,39,10061.37,526.22,1.0,2.82,56.6,0.0524,0
2025-01-01,ACC_00020,NorthAmerica,SMB,starter,monthly,13,8,222.76,85.72,3.0,22.57,19.1,0.517,0
2025-02-01,ACC_00020,NorthAmerica,SMB,starter,monthly,7,5,115.74,62.77,1.0,18.9,21.8,0.3882,1
2025-03-01,ACC_00020,NorthAmerica,SMB,starter,monthly,12,7,242.25,89.79,3.0,23.6,19.4,0.4338,0
2025-04-01,ACC_00020,NorthAmerica,SMB,starter,monthly,12,11,225.84,63.64,1.0,4.31,20.5,0.3738,0
2025-05-01,ACC_00020,NorthAmerica,SMB,error,monthly,11,3,201.19,21.95,1.0,8.52,15.5,0.413,0
2025-06-01,ACC_00020,NorthAmerica,SMB,starter,monthly,9,4,157.07,60.18,1.0,22.43,37.9,0.3463,1
2025-01-01,ACC_00021,NorthAmerica,SMB,starter,monthly,7,3,129.48,27.15,1.0,8.15,20.0,0.4055,0
2025-02-01,ACC_00021,NorthAmerica,SMB,starter,monthly,11,9,187.53,120.19,2.0,11.19,,0.3717,0
2025-03-01,ACC_00021,NorthAmerica,SMB,starter,monthly,7,7,135.04,39.43,,13.32,2.2,0.4244,0
2025-04-01,ACC_00021,NorthAmerica,SMB,starter,monthly,6,3,105.19,57.67,3.0,11.12,,0.3894,0
2025-05-01,ACC_00021,NorthAmerica,SMB,starter,monthly,8,4,164.83,101.06,2.0,21.51,46.3,0.3768,0
2025-06-01,ACC_00021,NorthAmerica,SMB,starter,monthly,8,4,138.0,39.84,0.0,4.17,28.4,0.3384,0
2025-01-01,ACC_00022,EMEA,MidMarket,growth,monthly,17,14,688.57,190.71,3.0,10.99,48.6,0.2991,0
2025-02-01,ACC_00022,EMEA,MidMarket,growth,monthly,13,8,555.86,163.73,0.0,9.25,20.0,0.305,1
2025-03-01,ACC_00022,EMEA,MidMarket,growth,monthly,14,11,482.44,,3.0,21.57,49.6,0.2823,0
2025-04-01,ACC_00022,EMEA,MidMarket,growth,monthly,15,11,773.97,112.58,3.0,5.01,33.1,0.3389,0
2025-05-01,ACC_00022,EMEA,MidMarket,growth,monthly,14,12,509.77,203.15,1.0,6.13,26.6,0.3043,0
2025-06-01,ACC_00022,EMEA,MidMarket,growth,monthly,15,11,631.84,,2.0,3.1,18.4,0.2964,0
2025-01-01,ACC_00023,NorthAmerica,SMB,pro,monthly,9,6,773.63,130.89,1.0,11.19,42.1,0.2955,0
2025-02-01,ACC_00023,NorthAmerica,SMB,pro,monthly,9,8,759.71,104.55,0.0,26.04,,0.3693,0
2025-03-01,ACC_00023,NorthAmerica,SMB,pro,monthly,5,3,424.32,59.05,4.0,16.27,36.6,0.3503,0
2025-04-01,ACC_00023,NorthAmerica,SMB,pro,monthly,15,7,1284.7,123.94,1.0,7.18,33.3,0.2757,0
2025-05-01,ACC_00023,NorthAmerica,SMB,pro,monthly,9,7,760.52,83.05,1.0,4.07,45.7,0.1969,0
2025-06-01,ACC_00023,NorthAmerica,SMB,pro,monthly,9,6,764.2,65.79,1.0,32.54,48.5,0.2486,0
2025-01-01,ACC_00024,APAC,SMB,pro,monthly,13,9,1053.28,173.97,1.0,19.57,38.0,0.3234,0
2025-02-01,ACC_00024,APAC,SMB,pro,monthly,12,6,1111.7,73.25,0.0,22.48,13.0,0.3025,0
2025-03-01,ACC_00024,APAC,SMB,pro,monthly,12,6,929.46,163.4,1.0,18.46,38.4,0.2314,0
2025-04-01,ACC_00024,APAC,SMB,pro,monthly,7,3,601.53,45.77,1.0,27.26,45.7,0.311,1
2025-05-01,ACC_00024,APAC,SMB,pro,monthly,12,10,1219.32,112.47,2.0,31.28,34.5,0.2553,0
2025-06-01,ACC_00024,APAC,SMB,pro,monthly,9,5,877.64,81.88,0.0,29.69,31.3,0.3188,0
2025-01-01,ACC_00025,APAC,MidMarket,pro,annual,22,14,1914.81,140.25,1.0,11.48,52.9,0.0189,0
2025-02-01,ACC_00025,APAC,MidMarket,pro,annual,17,13,1468.36,215.91,1.0,21.89,47.6,0.0755,0
2025-03-01,ACC_00025,APAC,MidMarket,pro,annual,21,15,1939.01,,0.0,55.77,72.4,0.0743,1
2025-04-01,ACC_00025,APAC,MidMarket,pro,annual,20,17,1432.52,255.69,2.0,16.5,46.1,0.083,0
2025-05-01,ACC_00025,unknown,MidMarket,pro,annual,18,10,1468.56,154.29,0.0,9.43,97.1,0.01,0
2025-06-01,ACC_00025,APAC,MidMarket,pro,annual,19,11,1810.33,217.11,0.0,8.41,47.5,0.01,0
2025-01-01,ACC_00026,APAC,SMB,growth,annual,9,7,360.81,111.8,3.0,20.57,,0.0434,0
2025-02-01,ACC_00026,APAC,SMB,growth,annual,9,5,362.26,0.39,0.0,0.73,,0.01,0
2025-03-01,ACC_00026,unknown,SMB,growth,annual,8,3,353.92,0.0,1.0,8.9,,0.01,0
2025-04-01,ACC_00026,APAC,SMB,growth,annual,6,4,261.97,45.04,0.0,9.14,44.8,0.053,0
2025-05-01,ACC_00026,APAC,SMB,growth,annual,7,4,283.44,90.39,1.0,35.74,63.9,0.01,0
2025-06-01,ACC_00026,APAC,SMB,growth,annual,10,3,428.58,60.13,0.0,39.88,38.3,0.1345,0
2025-01-01,ACC_00027,EMEA,Enterprise,starter,annual,106,59,1564.07,778.79,,8.61,30.6,0.1275,0
2025-02-01,ACC_00027,EMEA,Enterprise,starter,annual,116,69,1761.82,1143.45,,7.84,38.1,0.1479,0
2025-03-01,ACC_00027,EMEA,Enterprise,starter,annual,104,52,1862.97,788.91,0.0,12.31,,0.0649,0
2025-04-01,ACC_00027,EMEA,Enterprise,starter,annual,107,86,1775.7,814.48,,17.42,8.4,0.2429,0
2025-05-01,ACC_00027,EMEA,Enterprise,starter,annual,105,83,1876.9,701.49,6.0,10.23,25.1,0.2772,0
2025-06-01,ACC_00027,EMEA,Enterprise,starter,annual,102,45,1732.98,691.39,8.0,32.91,13.7,0.3363,0
2025-01-01,ACC_00028,APAC,SMB,pro,monthly,11,7,876.52,6.46,2.0,31.18,31.7,0.3733,0
2025-02-01,ACC_00028,APAC,SMB,pro,monthly,12,11,1105.05,,0.0,33.47,35.0,0.2349,0
2025-03-01,ACC_00028,APAC,SMB,pro,monthly,16,10,1302.02,163.15,0.0,7.48,,0.2378,0
2025-04-01,ACC_00028,APAC,SMB,pro,monthly,13,8,1067.59,97.09,0.0,10.59,49.3,0.2323,0
2025-05-01,ACC_00028,APAC,SMB,pro,monthly,9,5,750.0,88.27,0.0,22.8,35.3,0.3126,0
2025-06-01,ACC_00028,APAC,SMB,pro,monthly,13,4,1122.04,32.03,2.0,7.27,,0.3275,0
2025-01-01,ACC_00029,NorthAmerica,MidMarket,growth,monthly,48,36,2206.13,616.75,0.0,13.37,21.6,0.2052,0
2025-02-01,ACC_00029,NorthAmerica,MidMarket,growth,monthly,44,38,1945.81,485.65,3.0,5.62,22.4,0.3429,0
2025-03-01,ACC_00029,NorthAmerica,MidMarket,growth,monthly,42,42,1815.36,586.35,2.0,6.33,37.3,0.296,0
2025-04-01,ACC_00029,NorthAmerica,MidMarket,growth,monthly,40,23,1657.0,150.34,2.0,15.63,45.5,0.2245,0
2025-05-01,ACC_00029,NorthAmerica,MidMarket,growth,monthly,42,23,1698.56,328.58,2.0,34.23,28.5,0.2962,0
2025-06-01,ACC_00029,NorthAmerica,MidMarket,growth,monthly,42,29,1946.82,317.52,6.0,19.94,16.3,0.402,0
2025-01-01,ACC_00030,unknown,MidMarket,starter,monthly,37,26,671.78,178.46,1.0,15.55,,0.4078,1
2025-02-01,ACC_00030,EMEA,MidMarket,starter,monthly,36,18,643.74,346.21,2.0,19.32,,0.376,0
2025-03-01,ACC_00030,EMEA,MidMarket,starter,monthly,36,25,671.83,223.19,0.0,3.33,67.5,0.3176,0
2025-04-01,ACC_00030,EMEA,MidMarket,starter,monthly,34,20,694.59,425.99,1.0,15.56,35.1,0.3532,0
2025-05-01,ACC_00030,EMEA,MidMarket,starter,monthly,36,35,666.17,528.53,3.0,18.05,40.1,0.3918,0
2025-06-01,ACC_00030,EMEA,MidMarket,starter,monthly,36,26,530.98,140.19,3.0,8.06,18.2,0.4566,0
2025-01-01,ACC_00031,NorthAmerica,Enterprise,pro,annual,126,68,11056.0,1312.07,4.0,4.51,,0.0911,0
2025-02-01,ACC_00031,NorthAmerica,Enterprise,pro,annual,143,113,12326.51,1285.65,3.0,14.16,58.4,0.0782,0
2025-03-01,ACC_00031,NorthAmerica,Enterprise,pro,annual,130,106,11937.5,1353.35,1.0,23.23,43.0,0.0807,0
2025-04-01,ACC_00031,NorthAmerica,Enterprise,pro,annual,146,65,13869.84,885.47,1.0,20.9,,0.0182,0
2025-05-01,ACC_00031,NorthAmerica,Enterprise,pro,annual,137,122,12248.27,2497.13,2.0,43.02,,0.1484,0
2025-06-01,ACC_00031,NorthAmerica,Enterprise,pro,annual,139,78,9993.18,1725.16,2.0,8.44,,0.01,0
2025-01-01,ACC_00032,APAC,MidMarket,pro,annual,48,19,3499.75,170.78,0.0,8.92,71.9,0.01,0
2025-02-01,ACC_00032,APAC,MidMarket,pro,annual,44,36,4074.01,67.42,2.0,25.35,35.3,0.0897,0
2025-03-01,ACC_00032,APAC,MidMarket,pro,annual,48,35,4289.11,576.34,0.0,8.6,,0.0301,0
2025-04-01,ACC_00032,APAC,MidMarket,pro,annual,44,15,3508.52,223.63,0.0,8.01,85.1,0.01,0
2025-05-01,ACC_00032,APAC,MidMarket,pro,annual,48,25,3914.54,456.66,2.0,5.9,47.3,0.1001,0
2025-06-01,ACC_00032,APAC,MidMarket,pro,annual,44,29,4008.34,391.65,1.0,21.83,31.9,0.107,0
2025-01-01,ACC_00033,NorthAmerica,MidMarket,pro,annual,24,13,1912.91,146.08,4.0,16.34,40.5,0.1748,0
2025-02-01,ACC_00033,NorthAmerica,MidMarket,pro,annual,28,16,2171.24,253.46,1.0,3.1,52.9,0.0292,0
2025-03-01,ACC_00033,NorthAmerica,MidMarket,pro,annual,22,17,1834.89,,1.0,32.53,34.8,0.0991,0
2025-04-01,ACC_00033,NorthAmerica,MidMarket,pro,annual,23,17,2210.67,254.37,1.0,32.81,,0.0695,0
2025-05-01,ACC_00033,NorthAmerica,MidMarket,error,annual,25,15,2051.69,240.48,0.0,16.14,57.9,0.01,0
2025-06-01,ACC_00033,NorthAmerica,MidMarket,pro,annual,23,18,1848.52,249.68,3.0,13.97,71.0,0.0231,0
2025-01-01,ACC_00034,EMEA,SMB,growth,monthly,6,5,254.89,9.2,,12.15,32.3,0.2644,0
2025-02-01,ACC_00034,EMEA,SMB,growth,monthly,6,6,246.68,69.98,4.0,13.89,,0.4007,0
2025-03-01,ACC_00034,EMEA,SMB,growth,monthly,7,4,305.84,64.71,0.0,42.86,35.5,0.3565,1
2025-04-01,ACC_00034,EMEA,SMB,growth,monthly,7,6,294.91,96.34,1.0,6.48,32.6,0.2815,0
2025-05-01,ACC_00034,EMEA,SMB,growth,monthly,7,2,346.33,32.3,4.0,14.32,46.9,0.2537,0
2025-06-01,ACC_00034,EMEA,SMB,growth,monthly,4,2,160.31,1.07,2.0,27.21,-28.5,0.3371,0
2025-01-01,ACC_00035,LATAM,MidMarket,enterprise,annual,20,18,2563.95,401.55,0.0,10.1,57.7,0.0231,0
2025-02-01,ACC_00035,LATAM,MidMarket,enterprise,annual,24,5,2867.62,72.7,2.0,34.08,55.3,0.0653,0
2025-03-01,ACC_00035,LATAM,MidMarket,enterprise,annual,23,12,3109.62,,4.0,4.42,66.7,0.093,0
2025-04-01,ACC_00035,LATAM,MidMarket,enterprise,annual,20,13,2822.56,187.87,2.0,34.23,46.9,0.1348,0
2025-05-01,ACC_00035,LATAM,MidMarket,enterprise,annual,21,12,2693.74,233.31,2.0,12.69,46.4,0.1278,0
2025-06-01,ACC_00035,LATAM,MidMarket,enterprise,annual,24,12,3645.11,257.93,1.0,26.19,44.8,0.0609,0
2025-01-01,ACC_00036,APAC,MidMarket,pro,monthly,14,9,1288.36,72.77,2.0,6.76,31.0,0.2963,0
2025-02-01,ACC_00036,APAC,MidMarket,pro,monthly,13,10,1233.05,99.64,0.0,12.37,23.6,0.335,0
2025-03-01,ACC_00036,APAC,MidMarket,pro,monthly,14,5,1231.74,76.82,3.0,7.12,39.3,0.3026,0
2025-04-01,ACC_00036,APAC,MidMarket,pro,monthly,13,7,1106.15,122.98,2.0,28.55,46.8,0.3213,0
2025-05-01,ACC_00036,APAC,MidMarket,pro,monthly,15,9,1159.94,90.83,,4.15,20.1,0.2935,0
2025-06-01,ACC_00036,APAC,MidMarket,pro,monthly,13,6,1179.32,158.38,0.0,15.71,51.4,0.2113,0
2025-01-01,ACC_00037,EMEA,SMB,pro,monthly,11,5,796.46,104.57,1.0,55.42,51.2,0.2472,0
2025-02-01,ACC_00037,EMEA,SMB,pro,monthly,15,6,1056.16,80.74,1.0,13.27,15.7,0.2706,0
2025-03-01,ACC_00037,EMEA,SMB,pro,monthly,13,11,1164.04,,4.0,16.66,63.0,0.3106,0
2025-04-01,ACC_00037,EMEA,SMB,pro,monthly,13,7,996.94,,0.0,23.07,68.4,0.2844,0
2025-05-01,ACC_00037,unknown,SMB,pro,monthly,16,8,1547.03,127.35,1.0,4.94,31.8,0.2667,0
2025-06-01,ACC_00037,EMEA,SMB,pro,monthly,17,10,1446.3,164.77,3.0,36.08,37.2,0.4284,0
