event_id,event_timestamp,site_id,line_id,machine_id,machine_type,operating_mode,load_pct,ambient_temp_c,spindle_temp_c,vibration_mm_s,pressure_bar,power_kw,throughput_units,defects_per_hour,downtime_minutes,maintenance_flag,quality_grade
EVT_MCH_001_2025030211,2025-03-02 11:00:00,Site_A,L1,MCH_001,CNC,AUTO,44.99,17.0,46.87,2.285,5.746,39.423,66.36,0,3.94,0,A
EVT_MCH_001_2025030212,2025-03-02 12:00:00,Site_A,L1,MCH_001,CNC,AUTO,72.2,19.74,56.22,3.173,7.654,49.99,114.13,1,11.01,0,B
EVT_MCH_001_2025030213,2025-03-02 13:00:00,Site_A,L1,MCH_001,CNC,MANUAL,40.62,19.27,41.14,2.068,5.899,34.024,40.46,2,10.89,0,B
EVT_MCH_001_2025030214,2025-03-02 14:00:00,Site_A,L1,MCH_001,CNC,AUTO,52.39,13.59,42.43,2.534,6.261,38.548,73.51,0,6.32,0,A
EVT_MCH_001_2025030215,2025-03-02 15:00:00,Site_A,L1,MCH_001,CNC,AUTO,51.65,13.57,42.16,2.53,6.452,41.876,77.24,1,5.22,0,B
EVT_MCH_001_2025030216,2025-03-02 16:00:00,Site_A,L1,MCH_001,CNC,AUTO,49.98,11.57,35.38,2.21,7.281,39.083,70.6,1,7.79,0,B
EVT_MCH_001_2025030217,2025-03-02 17:00:00,Site_A,L1,MCH_001,CNC,MANUAL,26.61,12.35,29.9,1.369,5.257,31.618,1.58,0,6.89,0,A
EVT_MCH_001_2025030218,2025-03-02 18:00:00,Site_A,L1,MCH_001,CNC,AUTO,72.78,12.95,56.14,2.932,6.767,55.166,87.3,0,10.52,0,A
EVT_MCH_001_2025030219,2025-03-02 19:00:00,Site_A,L1,MCH_001,CNC,AUTO,56.34,13.88,47.66,2.524,5.399,49.38,77.02,0,8.34,0,A
EVT_MCH_001_2025030220,2025-03-02 20:00:00,Site_A,L1,MCH_001,CNC,AUTO,48.93,10.99,35.97,2.099,5.828,38.432,83.56,1,2.87,0,B
EVT_MCH_001_2025030221,2025-03-02 21:00:00,Site_A,L1,MCH_001,CNC,AUTO,45.88,15.98,43.0,2.401,5.474,38.938,82.63,2,3.78,0,B
EVT_MCH_001_2025030222,2025-03-02 22:00:00,Site_A,L1,MCH_001,CNC,AUTO,48.45,20.74,42.74,2.428,6.391,35.894,39.41,0,14.06,0,A
EVT_MCH_001_2025030223,2025-03-02 23:00:00,Site_A,L1,MCH_001,CNC,AUTO,46.15,15.76,42.84,2.182,5.95,41.038,60.37,0,3.81,0,A
EVT_MCH_001_2025030300,2025-03-03 00:00:00,Site_A,L1,MCH_001,CNC,MANUAL,52.48,18.26,45.86,2.421,6.366,42.632,50.24,0,2.81,0,A
EVT_MCH_001_2025030301,2025-03-03 01:00:00,Site_A,L1,MCH_001,CNC,AUTO,81.78,16.57,60.9,3.175,6.447,54.065,108.73,1,21.77,1,B
EVT_MCH_001_2025030302,2025-03-03 02:00:00,Site_A,L1,MCH_001,CNC,AUTO,61.15,21.19,57.01,2.856,6.114,37.86,78.2,1,7.32,0,B
EVT_MCH_001_2025030303,2025-03-03 03:00:00,Site_A,L1,MCH_001,CNC,AUTO,64.17,22.37,61.62,3.024,6.322,49.733,95.49,1,11.34,0,B
EVT_MCH_001_2025030304,2025-03-03 04:00:00,Site_A,L1,MCH_001,CNC,AUTO,79.12,24.28,68.94,2.947,5.056,51.621,108.94,0,7.13,0,A
EVT_MCH_001_2025030305,2025-03-03 05:00:00,Site_A,L1,MCH_001,CNC,AUTO,87.87,27.92,76.42,3.876,6.279,59.956,144.54,2,21.27,1,B
EVT_MCH_001_2025030306,2025-03-03 06:00:00,Site_A,L1,MCH_001,CNC,CALIBRATION,43.21,23.14,43.66,2.238,5.98,36.161,26.24,0,8.98,0,A
EVT_MCH_001_2025030307,2025-03-03 07:00:00,Site_A,L1,MCH_001,CNC,AUTO,72.31,25.08,65.16,2.988,6.581,51.39,96.75,2,11.73,0,B
EVT_MCH_001_2025030308,2025-03-03 08:00:00,Site_A,L1,MCH_001,CNC,AUTO,76.72,22.49,61.33,2.918,5.825,51.028,119.67,1,10.43,0,B
EVT_MCH_001_2025030309,2025-03-03 09:00:00,Site_A,L1,MCH_001,CNC,AUTO,79.11,24.41,66.16,3.138,5.991,,108.33,0,10.42,0,A
EVT_MCH_001_2025030310,2025-03-03 10:00:00,Site_A,L1,MCH_001,CNC,AUTO,76.75,22.3,61.86,3.17,6.422,58.318,100.29,0,12.68,0,A
EVT_MCH_001_2025030311,2025-03-03 11:00:00,Site_A,L1,MCH_001,CNC,unknown,54.01,20.63,50.05,2.431,6.3,35.826,52.2,0,3.72,0,A
EVT_MCH_001_2025030312,2025-03-03 12:00:00,Site_A,L1,MCH_001,CNC,MANUAL,46.31,17.76,43.58,2.262,7.1,35.694,25.52,0,1.16,0,A
EVT_MCH_001_2025030313,2025-03-03 13:00:00,Site_A,L1,MCH_001,CNC,AUTO,60.0,20.45,53.01,2.163,5.36,48.73,79.46,0,9.67,0,A
EVT_MCH_001_2025030314,2025-03-03 14:00:00,Site_A,L1,MCH_001,CNC,AUTO,65.46,13.93,50.81,2.824,6.351,42.493,76.9,0,6.78,0,A
EVT_MCH_001_2025030315,2025-03-03 15:00:00,Site_A,L1,MCH_001,CNC,CALIBRATION,28.09,12.87,33.26,2.008,5.495,32.279,42.95,2,7.52,0,B
EVT_MCH_001_2025030316,2025-03-03 16:00:00,Site_A,L1,MCH_001,CNC,AUTO,80.43,16.61,61.89,3.041,6.138,54.458,118.32,1,17.34,0,B
EVT_MCH_001_2025030317,2025-03-03 17:00:00,Site_A,L1,MCH_001,CNC,AUTO,73.32,15.93,58.25,2.522,5.094,50.049,118.0,0,6.41,0,A
EVT_MCH_001_2025030318,2025-03-03 18:00:00,Site_A,L1,MCH_001,CNC,MANUAL,47.56,15.81,47.01,2.639,6.949,33.507,48.83,1,7.21,0,B
EVT_MCH_001_2025030319,2025-03-03 19:00:00,Site_A,L1,MCH_001,CNC,MANUAL,40.38,12.47,41.14,,6.13,38.209,22.06,1,3.02,0,B
EVT_MCH_001_2025030320,2025-03-03 20:00:00,Site_A,L1,MCH_001,CNC,AUTO,77.23,15.94,59.93,3.218,6.807,51.535,110.06,0,12.66,0,A
EVT_MCH_001_2025030321,2025-03-03 21:00:00,Site_A,L1,MCH_001,CNC,AUTO,73.2,16.17,60.97,3.061,6.63,55.876,102.98,0,8.7,0,A
EVT_MCH_001_2025030322,2025-03-03 22:00:00,Site_A,L1,MCH_001,CNC,AUTO,78.46,17.33,67.38,3.1,6.257,57.418,138.67,0,8.11,0,A
EVT_MCH_001_2025030323,2025-03-03 23:00:00,Site_A,L1,MCH_001,CNC,CALIBRATION,34.82,20.44,40.72,2.239,5.678,31.881,22.83,0,8.98,0,A
EVT_MCH_001_2025030400,2025-03-04 00:00:00,Site_A,L1,MCH_001,CNC,AUTO,74.82,19.79,66.66,3.082,6.426,47.718,103.92,0,14.82,0,A
EVT_MCH_001_2025030401,2025-03-04 01:00:00,Site_A,L1,MCH_001,CNC,AUTO,80.69,19.59,66.45,3.194,6.312,62.15,118.27,0,10.98,0,A
EVT_MCH_001_2025030402,2025-03-04 02:00:00,Site_A,L1,MCH_001,CNC,AUTO,70.31,25.9,67.07,3.138,5.404,54.785,105.49,1,11.32,0,B
EVT_MCH_001_2025030403,2025-03-04 03:00:00,Site_A,L1,MCH_001,CNC,AUTO,67.31,23.12,63.99,2.442,6.767,47.641,124.68,0,17.99,0,A
EVT_MCH_001_2025030404,2025-03-04 04:00:00,Site_A,L1,MCH_001,CNC,AUTO,84.66,24.29,75.62,2.878,6.346,56.741,136.76,2,12.52,0,B
EVT_MCH_001_2025030405,2025-03-04 05:00:00,Site_A,L1,MCH_001,CNC,MANUAL,55.73,23.39,58.64,2.286,6.259,44.222,67.81,1,2.27,0,B
EVT_MCH_001_2025030406,2025-03-04 06:00:00,Site_A,L1,MCH_001,CNC,AUTO,78.09,24.75,69.28,2.814,6.922,55.75,82.28,1,8.14,0,B
EVT_MCH_001_2025030407,2025-03-04 07:00:00,Site_A,L1,MCH_001,CNC,AUTO,77.5,26.11,69.81,2.588,6.453,55.064,108.04,0,7.09,0,A
EVT_MCH_001_2025030408,2025-03-04 08:00:00,Site_A,L1,MCH_001,CNC,MANUAL,55.62,27.4,56.9,2.462,5.557,46.896,66.17,0,4.25,0,A
EVT_MCH_001_2025030409,2025-03-04 09:00:00,Site_A,L1,MCH_001,CNC,AUTO,72.81,24.55,71.24,2.79,6.6,52.282,100.08,2,8.39,0,B
EVT_MCH_001_2025030410,2025-03-04 10:00:00,Site_A,L1,MCH_001,CNC,AUTO,70.23,19.9,58.2,2.689,6.774,49.374,101.47,1,13.81,0,B
EVT_MCH_001_2025030411,2025-03-04 11:00:00,Site_A,L1,MCH_001,CNC,AUTO,82.66,18.63,67.46,,7.548,58.669,125.56,0,12.33,0,A
EVT_MCH_001_2025030412,2025-03-04 12:00:00,Site_A,L1,MCH_001,CNC,AUTO,77.42,18.72,64.74,3.496,7.049,55.43,131.81,2,17.7,0,B
EVT_MCH_001_2025030413,2025-03-04 13:00:00,Site_A,L1,MCH_001,CNC,AUTO,68.0,15.25,60.65,2.832,5.992,48.714,100.5,0,12.51,0,A
EVT_MCH_001_2025030414,2025-03-04 14:00:00,Site_A,L1,MCH_001,CNC,AUTO,80.33,17.31,65.0,3.035,6.419,50.304,121.67,0,20.23,1,A
EVT_MCH_001_2025030415,2025-03-04 15:00:00,Site_A,L1,MCH_001,CNC,MANUAL,55.75,14.42,46.47,2.394,6.178,44.414,44.38,0,3.06,0,A
EVT_MCH_001_2025030416,2025-03-04 16:00:00,Site_A,L1,MCH_001,CNC,AUTO,52.74,11.41,43.1,2.348,6.035,42.595,69.19,2,3.46,0,B
EVT_MCH_001_2025030417,2025-03-04 17:00:00,Site_A,L1,MCH_001,CNC,AUTO,67.63,15.99,55.76,2.371,7.037,44.38,93.92,1,8.46,0,B
EVT_MCH_001_2025030418,2025-03-04 18:00:00,Site_A,L1,MCH_001,CNC,AUTO,65.18,13.96,53.04,,6.27,41.413,106.01,1,5.98,0,B
EVT_MCH_001_2025030419,2025-03-04 19:00:00,Site_A,L1,MCH_001,CNC,AUTO,60.02,11.87,50.52,2.109,5.378,45.681,77.4,0,2.87,0,A
EVT_MCH_001_2025030420,2025-03-04 20:00:00,Site_A,L1,MCH_001,CNC,AUTO,79.3,16.77,62.12,,5.87,61.618,122.01,1,21.5,1,B
EVT_MCH_001_2025030421,2025-03-04 21:00:00,Site_A,L1,MCH_001,CNC,AUTO,64.02,17.33,55.06,2.7,6.371,40.957,98.98,2,6.81,0,B
EVT_MCH_001_2025030422,2025-03-04 22:00:00,Site_A,L1,MCH_001,CNC,AUTO,71.44,16.45,52.68,2.722,5.819,50.589,102.34,0,11.82,0,A
EVT_MCH_001_2025030423,2025-03-04 23:00:00,Site_A,L1,MCH_001,CNC,MANUAL,41.97,18.32,46.09,1.853,5.134,36.239,49.86,0,1.27,0,A
EVT_MCH_001_2025030500,2025-03-05 00:00:00,Site_A,L1,MCH_001,CNC,AUTO,96.92,18.52,74.82,3.558,6.966,68.142,149.28,0,20.29,1,A
EVT_MCH_001_2025030501,2025-03-05 01:00:00,Site_A,L1,MCH_001,CNC,AUTO,81.34,20.59,64.88,3.299,7.544,53.123,111.64,1,12.17,0,B
EVT_MCH_001_2025030502,2025-03-05 02:00:00,Site_A,L1,MCH_001,CNC,AUTO,77.35,20.57,67.66,3.044,6.591,,103.77,1,9.88,0,B
EVT_MCH_001_2025030503,2025-03-05 03:00:00,Site_A,L1,MCH_001,CNC,AUTO,65.14,21.09,58.56,2.808,6.562,46.131,95.75,0,6.59,0,A
EVT_MCH_001_2025030504,2025-03-05 04:00:00,Site_A,L1,MCH_001,CNC,AUTO,67.12,23.67,65.29,2.739,5.363,47.884,100.65,1,10.81,0,B
EVT_MCH_001_2025030505,2025-03-05 05:00:00,Site_A,L1,MCH_001,CNC,AUTO,80.29,23.4,71.76,2.83,6.058,56.127,111.15,0,11.7,0,A
EVT_MCH_001_2025030506,2025-03-05 06:00:00,Site_A,L1,MCH_001,CNC,MANUAL,50.93,26.71,54.3,2.569,5.381,38.932,42.1,0,12.07,0,A
EVT_MCH_001_2025030507,2025-03-05 07:00:00,Site_A,L1,MCH_001,CNC,CALIBRATION,40.15,24.52,52.33,2.451,5.18,32.393,40.19,1,10.44,0,B
EVT_MCH_001_2025030508,2025-03-05 08:00:00,Site_A,L1,MCH_001,CNC,AUTO,65.4,22.51,64.08,2.747,6.327,47.041,100.49,0,5.36,0,A
EVT_MCH_001_2025030509,2025-03-05 09:00:00,Site_A,L1,MCH_001,CNC,AUTO,71.64,21.04,63.18,2.819,6.002,49.911,89.15,1,11.82,0,B
EVT_MCH_001_2025030510,2025-03-05 10:00:00,Site_A,L1,MCH_001,CNC,AUTO,62.3,25.2,63.04,,5.393,46.172,88.81,1,6.23,0,B
EVT_MCH_001_2025030511,2025-03-05 11:00:00,Site_A,L1,MCH_001,CNC,CALIBRATION,31.16,21.51,37.93,1.875,5.739,29.865,25.71,1,1.89,0,B
EVT_MCH_001_2025030512,2025-03-05 12:00:00,Site_A,L1,MCH_001,CNC,AUTO,53.25,21.72,56.74,2.388,6.473,41.827,72.67,3,9.4,0,C
EVT_MCH_001_2025030513,2025-03-05 13:00:00,Site_A,L1,MCH_001,CNC,MANUAL,65.15,19.19,56.56,2.361,6.318,46.345,57.38,0,1.85,0,A
EVT_MCH_001_2025030514,2025-03-05 14:00:00,Site_A,L1,MCH_001,CNC,AUTO,76.42,15.78,59.63,3.162,6.368,56.54,112.98,0,14.43,0,A
EVT_MCH_001_2025030515,2025-03-05 15:00:00,Site_A,L1,MCH_001,CNC,AUTO,67.35,14.25,50.32,2.801,6.158,43.547,82.34,0,10.87,0,A
EVT_MCH_001_2025030516,2025-03-05 16:00:00,Site_A,L1,MCH_001,CNC,AUTO,62.78,16.14,54.82,2.114,5.991,50.139,101.39,2,4.35,0,B
EVT_MCH_001_2025030517,2025-03-05 17:00:00,Site_A,L1,MCH_001,CNC,AUTO,78.05,12.39,56.55,2.712,6.848,52.187,105.04,0,4.46,0,A
EVT_MCH_001_2025030518,2025-03-05 18:00:00,Site_A,L1,MCH_001,CNC,AUTO,65.56,13.5,54.43,2.639,7.604,47.353,113.28,0,15.67,0,A
EVT_MCH_001_2025030519,2025-03-05 19:00:00,Site_A,L1,MCH_001,CNC,AUTO,62.38,13.47,46.42,2.868,6.268,41.598,106.41,1,8.26,0,B
EVT_MCH_001_2025030520,2025-03-05 20:00:00,Site_A,L1,MCH_001,CNC,AUTO,63.85,15.92,49.36,2.795,6.652,42.014,71.24,2,9.35,0,B
EVT_MCH_001_2025030521,2025-03-05 21:00:00,Site_A,L1,MCH_001,CNC,AUTO,75.54,11.88,57.37,3.216,6.67,53.574,111.64,0,9.4,0,A
EVT_MCH_001_2025030522,2025-03-05 22:00:00,Site_A,L1,MCH_001,CNC,AUTO,68.64,15.42,53.87,2.617,5.566,,95.0,0,6.66,0,A
EVT_MCH_001_2025030523,2025-03-05 23:00:00,Site_A,L1,MCH_001,CNC,AUTO,66.62,20.75,56.02,2.897,6.772,47.391,93.68,1,7.98,0,B
EVT_MCH_001_2025030600,2025-03-06 00:00:00,Site_A,L1,MCH_001,CNC,AUTO,55.6,14.76,50.67,2.285,5.502,41.309,91.13,0,3.2,0,A
EVT_MCH_001_2025030601,2025-03-06 01:00:00,Site_A,L1,MCH_001,CNC,CALIBRATION,32.13,20.49,36.16,2.15,5.842,29.731,43.78,0,5.13,0,A
EVT_MCH_001_2025030602,2025-03-06 02:00:00,Site_A,L1,MCH_001,CNC,MANUAL,27.26,22.15,42.65,1.348,5.775,32.189,15.8,0,3.72,0,A
EVT_MCH_001_2025030603,2025-03-06 03:00:00,Site_A,L1,MCH_001,CNC,AUTO,78.77,23.59,66.61,,7.036,55.234,140.83,0,4.64,0,A
EVT_MCH_001_2025030604,2025-03-06 04:00:00,Site_A,L1,MCH_001,CNC,MANUAL,54.72,24.08,58.49,2.191,4.836,43.76,70.37,1,2.13,0,B
EVT_MCH_001_2025030605,2025-03-06 05:00:00,Site_A,L1,MCH_001,CNC,MANUAL,47.26,24.29,47.99,2.229,5.17,34.752,35.04,1,7.84,0,B
EVT_MCH_001_2025030606,2025-03-06 06:00:00,Site_A,L1,MCH_001,CNC,MANUAL,50.49,26.99,57.34,2.709,5.997,41.486,40.05,1,8.98,0,B
EVT_MCH_001_2025030607,2025-03-06 07:00:00,Site_A,L1,MCH_001,CNC,AUTO,73.28,25.49,64.03,2.988,6.523,53.4,90.27,0,7.55,0,A
EVT_MCH_001_2025030608,2025-03-06 08:00:00,Site_A,L1,MCH_001,CNC,AUTO,89.69,25.44,74.21,3.139,6.236,55.245,124.93,0,14.49,0,A
EVT_MCH_001_2025030609,2025-03-06 09:00:00,Site_A,L1,MCH_001,CNC,AUTO,73.95,24.32,66.33,2.745,6.406,54.182,126.01,0,6.08,0,A
EVT_MCH_001_2025030610,2025-03-06 10:00:00,Site_A,L1,MCH_001,CNC,AUTO,56.11,23.55,52.72,2.268,6.532,42.378,86.99,0,6.03,0,A
EVT_MCH_001_2025030611,2025-03-06 11:00:00,Site_A,L1,MCH_001,CNC,AUTO,84.35,19.98,71.82,3.325,6.568,60.4,129.76,0,12.23,0,A
EVT_MCH_001_2025030612,2025-03-06 12:00:00,Site_A,L1,MCH_001,CNC,AUTO,66.26,19.57,54.19,2.774,5.345,47.339,96.37,1,10.12,0,B
EVT_MCH_001_2025030613,2025-03-06 13:00:00,Site_A,L1,MCH_001,CNC,AUTO,81.42,18.43,64.7,3.07,6.477,,115.08,1,12.76,0,B
EVT_MCH_001_2025030614,2025-03-06 14:00:00,Site_A,L1,MCH_001,CNC,AUTO,75.42,15.79,56.81,3.249,6.495,51.752,121.58,0,19.63,1,A
EVT_MCH_001_2025030615,2025-03-06 15:00:00,Site_A,L1,MCH_001,CNC,AUTO,74.42,16.17,59.81,2.991,7.02,54.974,99.5,1,21.14,1,B
EVT_MCH_001_2025030616,2025-03-06 16:00:00,Site_A,L1,MCH_001,CNC,AUTO,74.69,16.26,58.12,2.843,6.37,48.275,86.44,1,15.45,0,B
EVT_MCH_001_2025030617,2025-03-06 17:00:00,Site_A,L1,MCH_001,CNC,MANUAL,46.84,10.22,31.52,,6.215,39.37,47.07,1,6.63,0,B
EVT_MCH_001_2025030618,2025-03-06 18:00:00,Site_A,L1,MCH_001,CNC,AUTO,79.92,11.55,63.28,2.699,6.357,50.969,119.42,1,7.41,0,B
EVT_MCH_001_2025030619,2025-03-06 19:00:00,Site_A,L1,MCH_001,CNC,AUTO,70.62,11.81,55.81,2.927,6.822,51.073,90.95,0,8.49,0,A
EVT_MCH_001_2025030620,2025-03-06 20:00:00,Site_A,L1,MCH_001,CNC,AUTO,77.85,14.76,55.46,2.618,5.942,54.27,,0,10.84,0,A
EVT_MCH_001_2025030621,2025-03-06 21:00:00,Site_A,L1,MCH_001,CNC,AUTO,73.4,14.31,53.49,3.012,6.598,50.835,84.77,1,8.3,0,B
EVT_MCH_001_2025030622,2025-03-06 22:00:00,Site_A,L1,MCH_001,CNC,AUTO,77.01,15.05,61.24,2.764,5.774,,104.22,0,7.82,0,A
EVT_MCH_001_2025030623,2025-03-06 23:00:00,Site_A,L1,MCH_001,CNC,AUTO,89.04,15.15,59.99,3.213,6.745,59.645,118.08,1,10.86,0,B
EVT_MCH_001_2025030700,2025-03-07 00:00:00,Site_A,L1,MCH_001,CNC,CALIBRATION,19.63,18.01,32.56,1.819,5.7,24.338,18.93,1,6.99,0,B
EVT_MCH_001_2025030701,2025-03-07 01:00:00,Site_A,L1,MCH_001,CNC,AUTO,73.32,23.5,63.84,2.691,6.027,53.797,122.75,0,7.21,0,A
EVT_MCH_001_2025030702,2025-03-07 02:00:00,Site_A,L1,MCH_001,CNC,AUTO,81.16,22.01,67.96,3.292,6.19,58.976,98.71,0,22.1,1,A
EVT_MCH_001_2025030703,2025-03-07 03:00:00,Site_A,L1,MCH_001,CNC,AUTO,79.13,20.15,65.24,2.717,6.434,59.646,111.41,0,6.52,0,A
EVT_MCH_001_2025030704,2025-03-07 04:00:00,Site_A,L1,MCH_001,CNC,AUTO,60.27,25.2,58.55,2.448,6.585,46.169,77.21,0,1.97,0,A
EVT_MCH_001_2025030705,2025-03-07 05:00:00,Site_A,L1,MCH_001,CNC,AUTO,66.41,25.53,65.11,2.794,6.757,49.053,95.13,1,15.4,0,B
EVT_MCH_001_2025030706,2025-03-07 06:00:00,Site_A,L1,MCH_001,CNC,AUTO,78.98,23.52,70.95,2.859,5.897,56.253,140.42,2,8.6,0,B
EVT_MCH_001_2025030707,2025-03-07 07:00:00,Site_A,L1,MCH_001,CNC,MANUAL,58.7,24.65,56.96,2.654,5.786,47.195,35.54,0,5.02,0,A
EVT_MCH_001_2025030708,2025-03-07 08:00:00,Site_A,L1,MCH_001,CNC,AUTO,66.96,22.28,62.54,2.745,6.486,48.148,82.77,1,13.0,0,B
EVT_MCH_001_2025030709,2025-03-07 09:00:00,Site_A,L1,MCH_001,CNC,MANUAL,52.69,24.22,55.23,2.285,4.398,42.255,36.64,1,11.91,0,B
